publisher_name,id,message,severity,category,count,spend_category,spend_category_year,Publisher
_path_,1.5.1,The receiver-org activity identifier should not start or end with spaces or newlines.,warning,financial,2,> 1M & <= 10M,2019,PATH
_path_,1.15.1,The receiver-org identifier should not start or end with spaces or newlines.,warning,financial,4,> 1M & <= 10M,2019,PATH
_path_,6.9.1,The provider organisation must have an organisation identifier or a narrative.,error,financial,1,> 1M & <= 10M,2019,PATH
1-uz,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,1,No spend data for 2019-2021,,University Of Zimbabwe
12921047,6.9.2,The receiver organisation must have an organisation identifier or a narrative.,error,financial,1,> 1M & <= 10M,2019,CARE Danmark Fonden for Frivillig Ulandsbistand
aaik,1.10.13,"The provider organisation identifier must not contain any of the symbols /, &, | or ?.",warning,financial,5,> 1M & <= 10M,2021,ACTIONAID INTERNATIONAL KENYA
aaik,1.15.13,"The receiver-org identifier must not contain any of the symbols /, &, | or ?.",warning,financial,1,> 1M & <= 10M,2021,ACTIONAID INTERNATIONAL KENYA
aaik,1.10.1,The provider organisation identifier should not start or end with spaces or newlines.,warning,financial,2,> 1M & <= 10M,2021,ACTIONAID INTERNATIONAL KENYA
aaik,1.4.1,The provider-org activity identifier should not start or end with spaces or newlines.,warning,financial,3,> 1M & <= 10M,2021,ACTIONAID INTERNATIONAL KENYA
aanl,8.10.3,The actual value should be omitted for qualitative indicator measures.,warning,performance,1,> 1M & <= 10M,2019,Stichting ActionAId
aanl,8.9.3,The target value should be omitted for qualitative measures.,warning,performance,1,> 1M & <= 10M,2019,Stichting ActionAId
aar,6.9.2,The receiver organisation must have an organisation identifier or a narrative.,error,financial,2,> 1M & <= 10M,2019,ActionAid Rwanda
aar,6.9.1,The provider organisation must have an organisation identifier or a narrative.,error,financial,1,> 1M & <= 10M,2019,ActionAid Rwanda
aauk,1.15.13,"The receiver-org identifier must not contain any of the symbols /, &, | or ?.",warning,financial,3,> 10M & <= 100M,2019,ActionAid UK
aauk,107.2.1,The transaction should also contain a code from the OECD DAC aid type vocabulary.,warning,financial,1,> 10M & <= 100M,2019,ActionAid UK
aauk,1.10.1,The provider organisation identifier should not start or end with spaces or newlines.,warning,financial,6,> 10M & <= 100M,2019,ActionAid UK
aauk,1.15.1,The receiver-org identifier should not start or end with spaces or newlines.,warning,financial,5,> 10M & <= 100M,2019,ActionAid UK
aauk,6.9.2,The receiver organisation must have an organisation identifier or a narrative.,error,financial,3,> 10M & <= 100M,2019,ActionAid UK
aauk,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,2,> 10M & <= 100M,2019,ActionAid UK
aauk,6.14.1,"When using a policy marker code for vocabulary 1, it must include a significance.",error,classifications,2,> 10M & <= 100M,2019,ActionAid UK
aauk,6.9.1,The provider organisation must have an organisation identifier or a narrative.,error,financial,2,> 10M & <= 100M,2019,ActionAid UK
aauk,1.5.1,The receiver-org activity identifier should not start or end with spaces or newlines.,warning,financial,3,> 10M & <= 100M,2019,ActionAid UK
aauk,1.3.1,The iati-identifier should not start or end with spaces or newlines.,warning,identifiers,2,> 10M & <= 100M,2019,ActionAid UK
aauk,1.4.1,The provider-org activity identifier should not start or end with spaces or newlines.,warning,financial,6,> 10M & <= 100M,2019,ActionAid UK
ac1999,1.10.1,The provider organisation identifier should not start or end with spaces or newlines.,warning,financial,2,No spend data for 2019-2021,,Advance Consulting
acet,11.1.5,The actual end date of the activity must not be in the future.,error,iati,1,> 1M & <= 10M,2021,African Center for Economic Transformation (ACET)
acet,2.1.1,"When multiple sectors, within a vocabulary (e.g. 1 - OECD DAC) are declared, each must have a percentage.",error,classifications,1,> 1M & <= 10M,2021,African Center for Economic Transformation (ACET)
acet,1.3.1,The iati-identifier should not start or end with spaces or newlines.,warning,identifiers,3,> 1M & <= 10M,2021,African Center for Economic Transformation (ACET)
acet,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,10,> 1M & <= 10M,2021,African Center for Economic Transformation (ACET)
